"scss/description_auto/checkout-onepage__progress-title_background-color","4% darken from Secondary color"
"scss/description_auto/checkout-onepage__progress-title_color","35% opacity from Primary color"
"scss/description_auto/checkout-onepage__progress-title_font",""
"scss/description_auto/checkout-onepage__progress-title_font-size","13px"
"scss/description_auto/checkout-onepage__progress-title_font-weight","400"
"scss/description_auto/checkout-onepage__progress-title_text-transform","uppercase"
"scss/description_auto/checkout-onepage__step-title_active_color","Primary color"
"scss/description_auto/checkout-onepage__step-title_border-bottom-color","10% darken from Page Container Background Color"
"scss/description_auto/checkout-onepage__step-title_color","35% opacity from Primary color"
"scss/description_auto/checkout-onepage__step-title_font",""
"scss/description_auto/checkout-onepage__step-title_font-size","13px"
"scss/description_auto/checkout-onepage__step-title_font-weight","400"
"scss/description_auto/checkout-onepage__step-title_text-transform","uppercase"
"scss/description_auto/color--fifth",""
"scss/description_auto/color--fourth",""
"scss/description_auto/color--primary",""
"scss/description_auto/color--secondary",""
"scss/description_auto/color--third",""
"scss/description_auto/data-table__td_background-color","Secondary color"
"scss/description_auto/data-table__td_color","Primary color"
"scss/description_auto/data-table__th_background-color","4% darken from Secondary color"
"scss/description_auto/data-table__th_color","Primary color"
"scss/description_auto/data-table_border-color","4% darken from Secondary color"
"scss/description_auto/font_base",""
"scss/description_auto/font-family-base","'Roboto', Arial, sans-serif"
"scss/description_auto/font-size","13px"
"scss/description_auto/font-style","normal"
"scss/description_auto/font-weight","400"
"scss/description_auto/google_fonts",""
"scss/description_auto/header_separator-line_border-color","8% darken from Header Background Color"
"scss/description_auto/input-text_background-color",""
"scss/description_auto/input-text_border",""
"scss/description_auto/input-text_border-color",""
"scss/description_auto/letter-spacing",""
"scss/description_auto/line-height","17px"
"scss/description_auto/message--error__background-color",""
"scss/description_auto/message--notice_background-color",""
"scss/description_auto/message--success_background-color",""
"scss/description_auto/mini-cart__block-content_background-color","36% lighten from Fourth color"
"scss/description_auto/mini-cart__block-content_color","Primary color"
"scss/description_auto/mini-cart__link_color","Header > Text Color"
"scss/description_auto/mini-cart__link--hover_color","36% lighten from Fourth color"
"scss/description_auto/nav__button_background-color","18% lighten from Primary color"
"scss/description_auto/nav__button_color","Secondary color"
"scss/description_auto/nav__button_font",""
"scss/description_auto/nav__button_font-size","15px"
"scss/description_auto/nav__button_font-weight","700"
"scss/description_auto/nav__button_text-transform","uppercase"
"scss/description_auto/nav--primary__level0-link_color","Secondary color"
"scss/description_auto/nav--primary__level0-link_font",""
"scss/description_auto/nav--primary__level0-link_font-size","15px"
"scss/description_auto/nav--primary__level0-link_font-weight","900"
"scss/description_auto/nav--primary__level0-link_line-height","113% from font size"
"scss/description_auto/nav--primary__level0-link_padding",""
"scss/description_auto/nav--primary__level0-link_padding-right","10px"
"scss/description_auto/nav--primary__level0-link_padding-top","10px"
"scss/description_auto/nav--primary__level0-link_text-transform","uppercase"
"scss/description_auto/nav--primary__level0-link--hover_color","36% lighten from Fourth color"
"scss/description_auto/nav--primary__level0-list_padding-global",""
