"scss/description/product-view__product-collateral__list__item_color","Culoare text taburi"
"scss/description/product-view__product-collateral__list__item-active_background-color","Culoare fundal tab activ"
"scss/description/product-view__product-collateral__list__item-active_color","Culoare text taburi active"
"scss/description/product-view__product-image_background-color",""
"scss/description/product-view__product-name_color","Culoare nume produs"
"scss/description/product-view__product-options__required_color","Culoare text SKU şi Etichetă (exceptând produsele simple)"
"scss/description/product-view__product-options__required_font",""
"scss/description/product-view__product-shop__breadcrumbs_display","Mod afişare cale pagină"
"scss/description/product-view__sku_display","Mod afişare SKU"
"scss/description/products-grid__item__characteristics_color","Culoare text taxe din listare produse"
"scss/description/products-grid__item__price_color","Culoare preţ din listare produse"
"scss/description/products-grid__item__product-box_text-align",""
"scss/description/products-grid__item__product-name_color","Culoare nume produs"
"scss/description/products-grid__item__product-name_font",""
"scss/description/products-grid__item__tax-details_display","Mod afişare taxe"
"scss/description/products-grid__item-inner_background-color","Culoare fundal pentru fiecare produs din listare"
"scss/description/products-list__item__actions_margin",""
"scss/description/products-list__item__actions_margin-top","Spaţiu deasupra butoanelor de acţiune"
"scss/description/products-list__item__price_margin",""
"scss/description/products-list__item__price_margin-bottom","Spaţiu sub preţ produs"
"scss/description/products-list__item__product-box_text-align",""
"scss/description/products-list__item__product-image_background-color","Culoare fundal imagine pentru fiecare produs din listare"
"scss/description/products-list__item__product-name_margin",""
"scss/description/products-list__item__product-name_margin-bottom","Spaţiu sub nume produs"
"scss/description/products-list__product-box_text-align",""
"scss/description/input-text_border",""
"scss/description/input-text_border-color",""
"scss/description/input-text_background-color",""
"scss/description_auto/account__block-content__list__current_background-color","4% mai închis din Culoare 2"
"scss/description_auto/account__block-content__list__current_color","Culoare 1"
"scss/description_auto/account__block-content__list_color","35% transparenţă din Culoare 1"
"scss/description_auto/add-to-links_color","Culoare 1"
"scss/description_auto/add-to-links_font",""
"scss/description_auto/add-to-links_font-size","12px"
"scss/description_auto/add-to-links_text-transform","niciuna"
"scss/description_auto/badge_font",""
"scss/description_auto/badge_font-size","13px"
"scss/description_auto/badge_font-weight","700"
"scss/description_auto/badge_text-transform","majuscule"
"scss/description_auto/badge--new_background-color","16% mai deschis din Culoare 3"
"scss/description_auto/badge--new_color","Culoare 2"
"scss/description_auto/badge--new_display","block"
"scss/description_auto/badge--sale_background-color","2% mai închis din Culoare 4"
"scss/description_auto/badge--sale_color","Culoare 2"
"scss/description_auto/badge--sale_display","block"
"scss/description_auto/block__block-title_background-color","4% mai închis din Culoare 2"
"scss/description_auto/block__block-title_color","Culoare 1"
"scss/description_auto/block-layered-nav__title_color","Culoare 1"
"scss/description_auto/block-layered-nav__title_font",""
"scss/description_auto/block-layered-nav__title_font-size","22px"
"scss/description_auto/block-layered-nav__title_font-weight","400"
"scss/description_auto/breadcrumbs__leaf_color","18% mai deschis din Culoare 1"
"scss/description_auto/breadcrumbs_color","4% mai deschis din Culoare 1"
"scss/description_auto/breadcrumbs_display","block"
"scss/description_auto/breadcrumbs_font",""
"scss/description_auto/breadcrumbs_font-size","13px"
"scss/description_auto/breadcrumbs_font-weight","400"
"scss/description_auto/breadcrumbs_text-transform","niciuna"
"scss/description_auto/button_background-color","Culoare 1"
"scss/description_auto/button_color","Culoare 2"
"scss/description_auto/button-action_background-color","Culoare 3"
"scss/description_auto/button-action_color","Culoare 2"
"scss/description_auto/cart__btn-checkout_background-color","Butoane > Culoare fundal buton acţiune"
"scss/description_auto/cart__btn-checkout_color","Butoane > Culoare text buton acţiune"
"scss/description_auto/cart__cart-totals__table_background-color","4% mai închis din Culoare 2"
"scss/description_auto/cart__cart-totals__table_color","Culoare 1"
"scss/description_auto/cart__cart-totals__total_color","35% opacitate din Culoare 1"
"scss/description_auto/cart__discount__button_background-color","2% mai închis din Culoare 4"
"scss/description_auto/cart__discount__button_color","Culoare 2"
"scss/description_auto/cart-table__item-options_color","Culoare 1"
"scss/description_auto/cart-table__item-options_font",""
"scss/description_auto/cart-table__item-options_font-size","13px"
"scss/description_auto/cart-table__product-image_background-color","Alb"
"scss/description_auto/cart-table__product-name_color","Culoare 1"
"scss/description_auto/cart-table__product-name_font",""
"scss/description_auto/cart-table__product-name_font-size","13px"
"scss/description_auto/cart-table__product-name_font-weight","400"
"scss/description_auto/cart-table__product-price_color","4% mai închis din Culoare 2"
"scss/description_auto/cart-table__product-price_font",""
"scss/description_auto/cart-table__product-price_font-size","13px"
"scss/description_auto/cart-table__product-price_font-weight","400"
"scss/description_auto/cart-table__product-sku_display","block"
"scss/description_auto/cart-table__sku-label_color","35% transparenţă din Culoare 1"
"scss/description_auto/cart-table__sku-label_font",""
"scss/description_auto/cart-table__sku-label_font-size","13px"
"scss/description_auto/cart-table_background-color","4% mai închis din Culoare 2"
"scss/description_auto/checkout-onepage__buttons_background-color","Culoare 3"
"scss/description_auto/checkout-onepage__buttons_color","Culoare 2"
"scss/description_auto/checkout-onepage__buttons_font",""
"scss/description_auto/checkout-onepage__buttons_font-size","13px"
"scss/description_auto/checkout-onepage__buttons_font-weight","700"
"scss/description_auto/checkout-onepage__buttons_text-transform","majuscule"
"scss/description_auto/checkout-onepage__progress-title_background-color","4% mai închis din Culoare 2"
"scss/description_auto/checkout-onepage__progress-title_color","35% transparenţă din Culoare 1"
"scss/description_auto/checkout-onepage__progress-title_font",""
"scss/description_auto/checkout-onepage__progress-title_font-size","13px"
"scss/description_auto/checkout-onepage__progress-title_font-weight","400"
"scss/description_auto/checkout-onepage__progress-title_text-transform","majuscule"
"scss/description_auto/checkout-onepage__step-title_active_color","Culoare 1"
"scss/description_auto/checkout-onepage__step-title_border-bottom-color","10% mai închis din Culoare fundal conţinut"
"scss/description_auto/checkout-onepage__step-title_color","35% transparenţă din Culoare 1"
"scss/description_auto/checkout-onepage__step-title_font",""
"scss/description_auto/checkout-onepage__step-title_font-size","13px"
"scss/description_auto/checkout-onepage__step-title_font-weight","400"
"scss/description_auto/checkout-onepage__step-title_text-transform","majuscule"
"scss/description_auto/color--fifth",""
"scss/description_auto/color--fourth",""
"scss/description_auto/color--primary",""
"scss/description_auto/color--secondary",""
"scss/description_auto/color--third",""
"scss/description_auto/data-table__td_background-color","Culoare 2"
"scss/description_auto/data-table__td_color","Culoare 1"
"scss/description_auto/data-table__th_background-color","4% mai închis din Culoare 2"
"scss/description_auto/data-table__th_color","Culoare 1"
"scss/description_auto/data-table_border-color","4% mai închis din Culoare 2"
"scss/description_auto/font_base",""
"scss/description_auto/font-family-base","'Roboto', Arial, sans-serif"
"scss/description_auto/font-size","13px"
"scss/description_auto/font-style","normal"
"scss/description_auto/font-weight","400"
"scss/description_auto/google_fonts",""
"scss/description_auto/header_separator-line_border-color","8% mai închis din Culoare fundal header"
"scss/description_auto/input-text_background-color",""
"scss/description_auto/input-text_border",""
"scss/description_auto/input-text_border-color",""
"scss/description_auto/letter-spacing",""
"scss/description_auto/line-height","17px"
"scss/description_auto/message--error__background-color",""
"scss/description_auto/message--notice_background-color",""
"scss/description_auto/message--success_background-color",""
"scss/description_auto/mini-cart__block-content_background-color","36% mai deschis din Culoare 4"
"scss/description_auto/mini-cart__block-content_color","Culoare 1"
"scss/description_auto/mini-cart__link_color","Header > Culoare text"
"scss/description_auto/mini-cart__link--hover_color","36% mai deschis din Culoare 4"
"scss/description_auto/nav__button_background-color","18% mai deschis din Culoare 1"
"scss/description_auto/nav__button_color","Culoare 2"
"scss/description_auto/nav__button_font",""
"scss/description_auto/nav__button_font-size","15px"
"scss/description_auto/nav__button_font-weight","700"
"scss/description_auto/nav__button_text-transform","majuscule"
"scss/description_auto/nav--primary__level0-link_color","Culoare 2"
"scss/description_auto/nav--primary__level0-link_font",""
"scss/description_auto/nav--primary__level0-link_font-size","15px"
"scss/description_auto/nav--primary__level0-link_font-weight","900"
"scss/description_auto/nav--primary__level0-link_line-height","113% din mărimea fontului"
"scss/description_auto/nav--primary__level0-link_padding",""
"scss/description_auto/nav--primary__level0-link_padding-right","10px"
"scss/description_auto/nav--primary__level0-link_padding-top","10px"
"scss/description_auto/nav--primary__level0-link_text-transform","majuscule"
"scss/description_auto/nav--primary__level0-link--hover_color","36% mai deschis din Culoare 4"
"scss/description_auto/nav--primary__level0-list_padding-global",""
